"classe","region","nb_index","regiao_agrupada"
"Cruciform","Promotor",4145,"Promotor"
"Cruciform","Promotor",4155,"Promotor"
"Cruciform","Promotor",4187,"Promotor"
"Cruciform","Promotor",4224,"Promotor"
"Cruciform","Promotor",4225,"Promotor"
"Cruciform","Promotor",4235,"Promotor"
"Cruciform","Promotor",4253,"Promotor"
"Cruciform","Promotor",4257,"Promotor"
"Cruciform","Promotor",4258,"Promotor"
"Cruciform","Promotor",4259,"Promotor"
"Cruciform","Promotor",4298,"Promotor"
"Cruciform","Promotor",4311,"Promotor"
"Cruciform","Promotor",4381,"Promotor"
"Cruciform","Promotor",4382,"Promotor"
"Cruciform","Promotor",4401,"Promotor"
"Cruciform","Promotor",4411,"Promotor"
"Cruciform","Promotor",4441,"Promotor"
"Cruciform","Promotor",4460,"Promotor"
"Cruciform","Promotor",4463,"Promotor"
"Cruciform","Promotor",4478,"Promotor"
"Cruciform","Promotor",4477,"Promotor"
"Cruciform","Promotor",4504,"Promotor"
"Cruciform","Promotor",4515,"Promotor"
"Cruciform","Promotor",4516,"Promotor"
"Cruciform","Promotor",4536,"Promotor"
"Cruciform","Promotor",4538,"Promotor"
"Cruciform","Promotor",4539,"Promotor"
"Cruciform","Promotor",4546,"Promotor"
"Cruciform","Promotor",4549,"Promotor"
"Cruciform","Promotor",4567,"Promotor"
"Cruciform","Promotor",4574,"Promotor"
"Cruciform","Promotor",4575,"Promotor"
"Cruciform","Promotor",4593,"Promotor"
"Cruciform","Promotor",4611,"Promotor"
"Cruciform","Promotor",4613,"Promotor"
"Cruciform","Promotor",4614,"Promotor"
"Cruciform","Promotor",4658,"Promotor"
"Cruciform","Promotor",4674,"Promotor"
"Cruciform","Promotor",4675,"Promotor"
"Cruciform","Promotor",4690,"Promotor"
"Cruciform","Promotor",4705,"Promotor"
"Cruciform","Promotor",4706,"Promotor"
"Cruciform","Promotor",4707,"Promotor"
"Cruciform","Promotor",4708,"Promotor"
"Cruciform","Promotor",4737,"Promotor"
"Cruciform","Promotor",4747,"Promotor"
"Cruciform","Promotor",4755,"Promotor"
"Cruciform","Promotor",4764,"Promotor"
"Cruciform","Promotor",4765,"Promotor"
"Cruciform","Promotor",4766,"Promotor"
"Cruciform","Promotor",4790,"Promotor"
"Cruciform","Promotor",4791,"Promotor"
"Cruciform","Promotor",4806,"Promotor"
"Cruciform","Promotor",4822,"Promotor"
"Cruciform","Promotor",4828,"Promotor"
"Cruciform","Promotor",4856,"Promotor"
"Cruciform","Promotor",4857,"Promotor"
"Cruciform","Promotor",4855,"Promotor"
"Cruciform","Promotor",4856,"Promotor"
"Cruciform","Promotor",4857,"Promotor"
"Cruciform","Promotor",4870,"Promotor"
"Cruciform","Promotor",4876,"Promotor"
"Cruciform","Promotor",4887,"Promotor"
"Cruciform","Promotor",4888,"Promotor"
"Cruciform","Promotor",4893,"Promotor"
"Cruciform","Promotor",4907,"Promotor"
"Cruciform","Promotor",4922,"Promotor"
"Cruciform","Promotor",4924,"Promotor"
"Cruciform","Promotor",4925,"Promotor"
"Cruciform","Promotor",4925,"Promotor"
"Cruciform","Promotor",4940,"Promotor"
"Cruciform","Promotor",4941,"Promotor"
"Cruciform","Promotor",4940,"Promotor"
"Cruciform","Promotor",4941,"Promotor"
"Cruciform","Promotor",4940,"Promotor"
"Cruciform","Promotor",4941,"Promotor"
"Cruciform","Promotor",4940,"Promotor"
"Cruciform","Promotor",4941,"Promotor"
"Cruciform","Promotor",4941,"Promotor"
"Cruciform","Promotor",4941,"Promotor"
"Cruciform","Promotor",4942,"Promotor"
"Cruciform","Promotor",4943,"Promotor"
"Cruciform","Promotor",4944,"Promotor"
"Cruciform","Promotor",4948,"Promotor"
"Cruciform","Promotor",4948,"Promotor"
"Cruciform","Promotor",4949,"Promotor"
"Cruciform","Promotor",4949,"Promotor"
"Cruciform","Promotor",4950,"Promotor"
"Cruciform","Promotor",4951,"Promotor"
"Cruciform","Promotor",4950,"Promotor"
"Cruciform","Promotor",4951,"Promotor"
"Cruciform","Promotor",4950,"Promotor"
"Cruciform","Promotor",4951,"Promotor"
"Cruciform","Promotor",4950,"Promotor"
"Cruciform","Promotor",4951,"Promotor"
"Cruciform","Promotor",4960,"Promotor"
"Cruciform","Promotor",4961,"Promotor"
"Cruciform","Promotor",4963,"Promotor"
"Cruciform","Promotor",4971,"Promotor"
"Cruciform","Promotor",4982,"Promotor"
