"classe","region","nb_index"
"Cruciform","Promotor",4279
"Cruciform","Promotor",4287
"Cruciform","Promotor",4315
"Cruciform","Promotor",4321
"Cruciform","Promotor",4322
"Cruciform","Promotor",4322
"Cruciform","Promotor",4325
"Cruciform","Promotor",4325
"Cruciform","Promotor",4347
"Cruciform","Promotor",4347
"Cruciform","Promotor",4357
"Cruciform","Promotor",4358
"Cruciform","Promotor",4356
"Cruciform","Promotor",4364
"Cruciform","Promotor",4365
"Cruciform","Promotor",4375
"Cruciform","Promotor",4389
"Cruciform","Promotor",4390
"Cruciform","Promotor",4390
"Cruciform","Promotor",4399
"Cruciform","Promotor",4417
"Cruciform","Promotor",4418
"Cruciform","Promotor",4417
"Cruciform","Promotor",4428
"Cruciform","Promotor",4429
"Cruciform","Promotor",4433
"Cruciform","Promotor",4434
"Cruciform","Promotor",4435
"Cruciform","Promotor",4440
"Cruciform","Promotor",4447
"Cruciform","Promotor",4448
"Cruciform","Promotor",4464
"Cruciform","Promotor",4470
"Cruciform","Promotor",4476
"Cruciform","Promotor",4506
"Cruciform","Promotor",4552
"Cruciform","Promotor",4553
"Cruciform","Promotor",4578
"Cruciform","Promotor",4582
"Cruciform","Promotor",4597
"Cruciform","Promotor",4598
"Cruciform","Promotor",4612
"Cruciform","Promotor",4611
"Cruciform","Promotor",4612
"Cruciform","Promotor",4617
"Cruciform","Promotor",4618
"Cruciform","Promotor",4620
"Cruciform","Promotor",4620
"Cruciform","Promotor",4632
"Cruciform","Promotor",4641
"Cruciform","Promotor",4642
"Cruciform","Promotor",4640
"Cruciform","Promotor",4646
"Cruciform","Promotor",4645
"Cruciform","Promotor",4648
"Cruciform","Promotor",4662
"Cruciform","Promotor",4663
"Cruciform","Promotor",4681
"Cruciform","Promotor",4723
"Cruciform","Promotor",4724
"Cruciform","Promotor",4726
"Cruciform","Promotor",4767
"Cruciform","Promotor",4770
"Cruciform","Promotor",4771
"Cruciform","Promotor",4784
"Cruciform","Promotor",4785
"Cruciform","Promotor",4795
"Cruciform","Promotor",4827
"Cruciform","Promotor",4846
"Cruciform","Promotor",4847
"Cruciform","Promotor",4854
"Cruciform","Promotor",4862
"Cruciform","Promotor",4869
"Cruciform","Promotor",4888
"Cruciform","Promotor",4896
"Cruciform","Promotor",4897
"Cruciform","Promotor",4901
"Cruciform","Promotor",4900
"Cruciform","Promotor",4902
"Cruciform","Promotor",4903
"Cruciform","Promotor",4933
"Cruciform","Promotor",4945
"Cruciform","Promotor",4989
"Cruciform","Promotor",4994
"Cruciform","Promotor",4995
"Cruciform","Promotor",5002
"Cruciform","Promotor",5005
"Cruciform","Promotor",5016
"Cruciform","Promotor",5021
"Cruciform","Promotor",5050
"Cruciform","Promotor",5052
"Cruciform","Promotor",5058
"Cruciform","Promotor",5058
"Cruciform","Promotor",5061
"Cruciform","Promotor",5073
"Cruciform","Promotor",5074
"Cruciform","Promotor",5075
"Cruciform","Promotor",5072
"Cruciform","Promotor",5073
"Cruciform","Promotor",5084
"Cruciform","Promotor",5085
"Cruciform","Promotor",5092
"Cruciform","Promotor",5093
"Cruciform","Promotor",5098
"Cruciform","Promotor",5099
"Cruciform","Promotor",5096
"Cruciform","Promotor",5097
"Cruciform","Promotor",5098
"Cruciform","Promotor",5112
"Cruciform","Promotor",5125
"Cruciform","Promotor",5169
"Cruciform","Promotor",5215
"Cruciform","Promotor",5216
"Cruciform","Promotor",5229
"Cruciform","Promotor",5253
"Cruciform","Promotor",5258
"Cruciform","Promotor",5259
"Cruciform","Promotor",5260
"Cruciform","Promotor",5304
"Cruciform","Promotor",5328
"Cruciform","Promotor",5417
"Cruciform","Promotor",5418
"Cruciform","Promotor",5419
"Cruciform","Promotor",5439
"Cruciform","Promotor",5450
"Cruciform","Promotor",5459
"Cruciform","Promotor",5459
"Cruciform","Promotor",5482
"Cruciform","Promotor",5488
"Cruciform","Promotor",5508
"Cruciform","Promotor",5509
"Cruciform","Promotor",5515
"Cruciform","Promotor",5521
"Cruciform","Promotor",5540
"Cruciform","Promotor",5539
"Cruciform","Promotor",5544
"Cruciform","Promotor",5545
"Cruciform","Promotor",5581
"Cruciform","Promotor",5587
"Cruciform","Promotor",5588
"Cruciform","Promotor",5594
"Cruciform","Promotor",5595
"Cruciform","Promotor",5616
"Cruciform","Promotor",5618
"Cruciform","Promotor",5619
"Cruciform","Promotor",5626
"Cruciform","Promotor",5628
"Cruciform","Promotor",5650
"Cruciform","Promotor",5660
"Cruciform","Promotor",5661
"Cruciform","Promotor",5662
"Cruciform","Promotor",5681
"Cruciform","Promotor",5700
"Cruciform","Promotor",5701
"Cruciform","Promotor",5703
"Cruciform","Promotor",5704
"Cruciform","Promotor",5766
"Cruciform","Promotor",5787
"Cruciform","Promotor",5785
"Cruciform","Promotor",5786
"Cruciform","Promotor",5804
"Cruciform","Promotor",5820
"Cruciform","Promotor",5821
"Cruciform","Promotor",5822
"Cruciform","Promotor",5823
"Cruciform","Promotor",5856
"Cruciform","Promotor",5858
"Cruciform","Promotor",5869
"Cruciform","Promotor",5877
"Cruciform","Promotor",5889
"Cruciform","Promotor",5890
"Cruciform","Promotor",5893
"Cruciform","Promotor",5894
"Cruciform","Promotor",5930
"Cruciform","Promotor",5931
"Cruciform","Promotor",5955
"Cruciform","Promotor",5973
"Cruciform","Promotor",5974
"Cruciform","Promotor",5975
"Cruciform","Promotor",5976
"Cruciform","Promotor",5990
"Cruciform","Promotor",6027
"Cruciform","Promotor",6028
"Cruciform","Promotor",6026
"Cruciform","Promotor",6027
"Cruciform","Promotor",6028
"Cruciform","Promotor",6045
"Cruciform","Promotor",6053
"Cruciform","Promotor",6065
"Cruciform","Promotor",6066
"Cruciform","Promotor",6071
"Cruciform","Promotor",6088
"Cruciform","Promotor",6089
"Cruciform","Promotor",6099
"Cruciform","Promotor",6100
"Cruciform","Promotor",6107
"Cruciform","Promotor",6109
"Cruciform","Promotor",6111
"Cruciform","Promotor",6111
"Cruciform","Promotor",6128
"Cruciform","Promotor",6129
"Cruciform","Promotor",6128
"Cruciform","Promotor",6129
"Cruciform","Promotor",6130
"Cruciform","Promotor",6128
"Cruciform","Promotor",6129
"Cruciform","Promotor",6130
"Cruciform","Promotor",6128
"Cruciform","Promotor",6129
"Cruciform","Promotor",6130
"Cruciform","Promotor",6129
"Cruciform","Promotor",6130
"Cruciform","Promotor",6129
"Cruciform","Promotor",6130
"Cruciform","Promotor",6130
"Cruciform","Promotor",6131
"Cruciform","Promotor",6132
"Cruciform","Promotor",6133
"Cruciform","Promotor",6137
"Cruciform","Promotor",6137
"Cruciform","Promotor",6138
"Cruciform","Promotor",6139
"Cruciform","Promotor",6138
"Cruciform","Promotor",6139
"Cruciform","Promotor",6140
"Cruciform","Promotor",6141
"Cruciform","Promotor",6140
"Cruciform","Promotor",6141
"Cruciform","Promotor",6140
"Cruciform","Promotor",6141
"Cruciform","Promotor",6140
"Cruciform","Promotor",6141
"Cruciform","Promotor",6156
"Cruciform","Promotor",6157
"Cruciform","Promotor",6158
"Cruciform","Promotor",6160
"Cruciform","Promotor",6164
"Cruciform","Promotor",6172
"Cruciform","Promotor",6188
"Cruciform","Promotor",6192
"Cruciform","Promotor",6193
"Cruciform","Promotor",6196
"Cruciform","Promotor",6197
"Cruciform","Promotor",6212
"Cruciform","Promotor",6229
"Cruciform","Promotor",6230
"Cruciform","Promotor",6231
"Cruciform","Promotor",6233
"Cruciform","Promotor",6234
"Cruciform","Promotor",6235
"Cruciform","Promotor",6242
"Cruciform","Promotor",6255
"Cruciform","Promotor",6256
"Cruciform","Promotor",6257
"Cruciform","Promotor",6262
"Cruciform","Promotor",6263
"Cruciform","Promotor",6277
"Cruciform","Promotor",6285
"Cruciform","Promotor",6286
"Cruciform","Promotor",6287
"Cruciform","Promotor",6289
"Cruciform","Promotor",6290
"Cruciform","Promotor",6311
"Cruciform","Promotor",6312
"Cruciform","Promotor",6321
"Cruciform","Promotor",6331
"Cruciform","Promotor",6332
"Cruciform","Promotor",6336
"Cruciform","Promotor",6337
"Cruciform","Promotor",6343
"Cruciform","Promotor",6344
"Cruciform","Promotor",6353
"Cruciform","Promotor",6354
"Cruciform","Promotor",6361
"Cruciform","Promotor",6362
"Cruciform","Promotor",6363
"Cruciform","Promotor",6364
"Cruciform","Promotor",6379
"Cruciform","Promotor",6383
"Cruciform","Promotor",6422
"Cruciform","Promotor",6423
"Cruciform","Promotor",6428
"Cruciform","Promotor",6429
"Cruciform","Promotor",6448
"Cruciform","Promotor",6449
"Cruciform","Promotor",6456
"Cruciform","Promotor",6480
"Cruciform","Promotor",6481
"Cruciform","Promotor",6482
"Cruciform","Promotor",6483
"Cruciform","Promotor",6484
"Cruciform","Promotor",6503
"Cruciform","Promotor",6507
"Cruciform","Promotor",6507
"Cruciform","Promotor",6515
"Cruciform","Promotor",6515
"Cruciform","Promotor",6519
"Cruciform","Promotor",6521
"Cruciform","Promotor",6522
"Cruciform","Promotor",6582
"Cruciform","Promotor",6582
"Cruciform","Promotor",7151
"Cruciform","Promotor",7152
"Cruciform","Promotor",7153
"Cruciform","Promotor",7152
"Cruciform","Promotor",7153
"Cruciform","Promotor",7154
"Cruciform","Promotor",7179
"Cruciform","Promotor",7364
"Cruciform","Promotor",7365
"Cruciform","Promotor",7417
"Cruciform","Promotor",7602
"Cruciform","Promotor",7722
"Cruciform","Promotor",7723
"Cruciform","Promotor",7802
"Cruciform","Promotor",7892
"Cruciform","Promotor",7982
"Cruciform","Promotor",7983
"Cruciform","5' UTR",6595
"Cruciform","5' UTR",6596
"Cruciform","5' UTR",6597
"Cruciform","5' UTR",6598
"Cruciform","5' UTR",6599
"Cruciform","5' UTR",6600
"Cruciform","5' UTR",6625
"Cruciform","5' UTR",6625
"Cruciform","5' UTR",6840
"Cruciform","5' UTR",6841
"Cruciform","5' UTR",6842
"Cruciform","5' UTR",6843
"Cruciform","5' UTR",6844
"Cruciform","5' UTR",6845
"Cruciform","5' UTR",6846
"Cruciform","5' UTR",6847
"Cruciform","5' UTR",6848
"Cruciform","5' UTR",6849
"Cruciform","5' UTR",6850
"Cruciform","5' UTR",6851
"Cruciform","5' UTR",7006
"Cruciform","5' UTR",7007
"Cruciform","5' UTR",7008
"Cruciform","5' UTR",7009
